hts8,s232_rate,category
76101000,50.0,Aluminum-Derivative
76109000,50.0,Aluminum-Derivative
76129010,50.0,Aluminum-Derivative
7615102015,50.0,Aluminum-Derivative
7615102025,50.0,Aluminum-Derivative
7615103015,50.0,Aluminum-Derivative
7615103025,50.0,Aluminum-Derivative
7615105020,50.0,Aluminum-Derivative
7615105040,50.0,Aluminum-Derivative
7615107125,50.0,Aluminum-Derivative
7615107130,50.0,Aluminum-Derivative
7615107155,50.0,Aluminum-Derivative
7615107180,50.0,Aluminum-Derivative
7615109100,50.0,Aluminum-Derivative
7615200000,50.0,Aluminum-Derivative
7616109090,50.0,Aluminum-Derivative
7616991000,50.0,Aluminum-Derivative
7616995130,50.0,Aluminum-Derivative
7616995140,50.0,Aluminum-Derivative
7616995190,50.0,Aluminum-Derivative
7612100000,50.0,Aluminum-Derivative
7612905000,50.0,Aluminum-Derivative
7613000000,50.0,Aluminum-Derivative
76141010,50.0,Aluminum-Derivative
6603908100,50.0,Aluminum-Derivative
8302103000,50.0,Aluminum-Derivative
8302106030,50.0,Aluminum-Derivative
8302106060,50.0,Aluminum-Derivative
8302106090,50.0,Aluminum-Derivative
8302200000,50.0,Aluminum-Derivative
8302303010,50.0,Aluminum-Derivative
8302303060,50.0,Aluminum-Derivative
8302413000,50.0,Aluminum-Derivative
8302416015,50.0,Aluminum-Derivative
8302416045,50.0,Aluminum-Derivative
8302416050,50.0,Aluminum-Derivative
8302416080,50.0,Aluminum-Derivative
8302423010,50.0,Aluminum-Derivative
8302423015,50.0,Aluminum-Derivative
8302423065,50.0,Aluminum-Derivative
8302496035,50.0,Aluminum-Derivative
8302496045,50.0,Aluminum-Derivative
8302496055,50.0,Aluminum-Derivative
8302496085,50.0,Aluminum-Derivative
8302500000,50.0,Aluminum-Derivative
8302603000,50.0,Aluminum-Derivative
8302609000,50.0,Aluminum-Derivative
8305100050,50.0,Aluminum-Derivative
8306300000,50.0,Aluminum-Derivative
8414596590,50.0,Aluminum-Derivative
8415908025,50.0,Aluminum-Derivative
8415908045,50.0,Aluminum-Derivative
8415908085,50.0,Aluminum-Derivative
8418998005,50.0,Aluminum-Derivative
8418998050,50.0,Aluminum-Derivative
8418998060,50.0,Aluminum-Derivative
8419505000,50.0,Aluminum-Derivative
8419901000,50.0,Aluminum-Derivative
8422900640,50.0,Aluminum-Derivative
8424909080,50.0,Aluminum-Derivative
8473302000,50.0,Aluminum-Derivative
8473305100,50.0,Aluminum-Derivative
8479899599,50.0,Aluminum-Derivative
8479908500,50.0,Aluminum-Derivative
8479909596,50.0,Aluminum-Derivative
8481909060,50.0,Aluminum-Derivative
8481909085,50.0,Aluminum-Derivative
8486900000,50.0,Aluminum-Derivative
8487900080,50.0,Aluminum-Derivative
8503009520,50.0,Aluminum-Derivative
8508700000,50.0,Aluminum-Derivative
8513902000,50.0,Aluminum-Derivative
8515902000,50.0,Aluminum-Derivative
8516905000,50.0,Aluminum-Derivative
8516908050,50.0,Aluminum-Derivative
8517710000,50.0,Aluminum-Derivative
8517790000,50.0,Aluminum-Derivative
8529907300,50.0,Aluminum-Derivative
8529909760,50.0,Aluminum-Derivative
8536908585,50.0,Aluminum-Derivative
8538100000,50.0,Aluminum-Derivative
8541900000,50.0,Aluminum-Derivative
8543908885,50.0,Aluminum-Derivative
8547900020,50.0,Aluminum-Derivative
8547900030,50.0,Aluminum-Derivative
8547900040,50.0,Aluminum-Derivative
8708103050,50.0,Aluminum-Derivative
87081060,50.0,Aluminum-Derivative
8708295160,50.0,Aluminum-Derivative
8708806590,50.0,Aluminum-Derivative
8708996890,50.0,Aluminum-Derivative
8716805010,50.0,Aluminum-Derivative
8807300060,50.0,Aluminum-Derivative
9013908000,50.0,Aluminum-Derivative
9031909195,50.0,Aluminum-Derivative
9401999081,50.0,Aluminum-Derivative
94031000,50.0,Aluminum-Derivative
94032000,50.0,Aluminum-Derivative
9403991040,50.0,Aluminum-Derivative
9403999010,50.0,Aluminum-Derivative
9403999015,50.0,Aluminum-Derivative
9403999020,50.0,Aluminum-Derivative
9403999040,50.0,Aluminum-Derivative
9403999045,50.0,Aluminum-Derivative
9405994020,50.0,Aluminum-Derivative
9506114080,50.0,Aluminum-Derivative
9506514000,50.0,Aluminum-Derivative
9506516000,50.0,Aluminum-Derivative
9506594040,50.0,Aluminum-Derivative
9506702090,50.0,Aluminum-Derivative
9506910010,50.0,Aluminum-Derivative
9506910020,50.0,Aluminum-Derivative
9506910030,50.0,Aluminum-Derivative
9506990510,50.0,Aluminum-Derivative
9506990520,50.0,Aluminum-Derivative
9506990530,50.0,Aluminum-Derivative
9506991500,50.0,Aluminum-Derivative
9506992000,50.0,Aluminum-Derivative
9506992580,50.0,Aluminum-Derivative
9506992800,50.0,Aluminum-Derivative
9506995500,50.0,Aluminum-Derivative
9506996080,50.0,Aluminum-Derivative
9507302000,50.0,Aluminum-Derivative
9507304000,50.0,Aluminum-Derivative
9507306000,50.0,Aluminum-Derivative
9507308000,50.0,Aluminum-Derivative
9507906000,50.0,Aluminum-Derivative
9603908050,50.0,Aluminum-Derivative
2203000060,50.0,Aluminum-Derivative
2203000090,50.0,Aluminum-Derivative
04029968,50.0,Aluminum-Derivative
04029970,50.0,Aluminum-Derivative
04029990,50.0,Aluminum-Derivative
2106909998,50.0,Aluminum-Derivative
2710193050,50.0,Aluminum-Derivative
29034310,50.0,Aluminum-Derivative
29034510,50.0,Aluminum-Derivative
29034900,50.0,Aluminum-Derivative
29035110,50.0,Aluminum-Derivative
29035990,50.0,Aluminum-Derivative
3004909244,50.0,Aluminum-Derivative
32081000,50.0,Aluminum-Derivative
32082000,50.0,Aluminum-Derivative
32089000,50.0,Aluminum-Derivative
32091000,50.0,Aluminum-Derivative
32099000,50.0,Aluminum-Derivative
32139000,50.0,Aluminum-Derivative
32141000,50.0,Aluminum-Derivative
33030010,50.0,Aluminum-Derivative
33030020,50.0,Aluminum-Derivative
33030030,50.0,Aluminum-Derivative
33043000,50.0,Aluminum-Derivative
33049950,50.0,Aluminum-Derivative
33051000,50.0,Aluminum-Derivative
33053000,50.0,Aluminum-Derivative
33059000,50.0,Aluminum-Derivative
33069000,50.0,Aluminum-Derivative
33071010,50.0,Aluminum-Derivative
33071020,50.0,Aluminum-Derivative
33072000,50.0,Aluminum-Derivative
33074900,50.0,Aluminum-Derivative
33079000,50.0,Aluminum-Derivative
34013010,50.0,Aluminum-Derivative
34013050,50.0,Aluminum-Derivative
34023190,50.0,Aluminum-Derivative
34024990,50.0,Aluminum-Derivative
34025011,50.0,Aluminum-Derivative
34025051,50.0,Aluminum-Derivative
34029010,50.0,Aluminum-Derivative
34029030,50.0,Aluminum-Derivative
34029050,50.0,Aluminum-Derivative
34031910,50.0,Aluminum-Derivative
34031950,50.0,Aluminum-Derivative
34039900,50.0,Aluminum-Derivative
34051000,50.0,Aluminum-Derivative
34052000,50.0,Aluminum-Derivative
34054000,50.0,Aluminum-Derivative
34059000,50.0,Aluminum-Derivative
35061050,50.0,Aluminum-Derivative
35069110,50.0,Aluminum-Derivative
35069150,50.0,Aluminum-Derivative
35069900,50.0,Aluminum-Derivative
3701300000,50.0,Aluminum-Derivative
38085910,50.0,Aluminum-Derivative
38085940,50.0,Aluminum-Derivative
38086110,50.0,Aluminum-Derivative
38086150,50.0,Aluminum-Derivative
38086210,50.0,Aluminum-Derivative
38086250,50.0,Aluminum-Derivative
38086910,50.0,Aluminum-Derivative
38086950,50.0,Aluminum-Derivative
38089115,50.0,Aluminum-Derivative
38089125,50.0,Aluminum-Derivative
38089130,50.0,Aluminum-Derivative
38089150,50.0,Aluminum-Derivative
38089410,50.0,Aluminum-Derivative
38089450,50.0,Aluminum-Derivative
38099100,50.0,Aluminum-Derivative
38101000,50.0,Aluminum-Derivative
38111900,50.0,Aluminum-Derivative
38112100,50.0,Aluminum-Derivative
38140010,50.0,Aluminum-Derivative
38140020,50.0,Aluminum-Derivative
38140050,50.0,Aluminum-Derivative
38200000,50.0,Aluminum-Derivative
3824999397,50.0,Aluminum-Derivative
7308200035,50.0,Aluminum-Derivative
8307906000,50.0,Aluminum-Derivative
8309900020,50.0,Aluminum-Derivative
8309900025,50.0,Aluminum-Derivative
8412909070,50.0,Aluminum-Derivative
8412909075,50.0,Aluminum-Derivative
84148016,50.0,Aluminum-Derivative
84181000,50.0,Aluminum-Derivative
8419501000,50.0,Aluminum-Derivative
84248990,50.0,Aluminum-Derivative
8443160000,50.0,Aluminum-Derivative
84501100,50.0,Aluminum-Derivative
84512100,50.0,Aluminum-Derivative
84672200,50.0,Aluminum-Derivative
84672900,50.0,Aluminum-Derivative
84678100,50.0,Aluminum-Derivative
84678950,50.0,Aluminum-Derivative
8483405020,50.0,Aluminum-Derivative
8483905020,50.0,Aluminum-Derivative
8501640110,50.0,Aluminum-Derivative
85022000,50.0,Aluminum-Derivative
8502310000,50.0,Aluminum-Derivative
8503009546,50.0,Aluminum-Derivative
8503009570,50.0,Aluminum-Derivative
85043120,50.0,Aluminum-Derivative
85043140,50.0,Aluminum-Derivative
85043160,50.0,Aluminum-Derivative
85043300,50.0,Aluminum-Derivative
85043400,50.0,Aluminum-Derivative
85049020,50.0,Aluminum-Derivative
85049041,50.0,Aluminum-Derivative
85049065,50.0,Aluminum-Derivative
85049075,50.0,Aluminum-Derivative
85049096,50.0,Aluminum-Derivative
85441900,50.0,Aluminum-Derivative
85444290,50.0,Aluminum-Derivative
8544492000,50.0,Aluminum-Derivative
8544499000,50.0,Aluminum-Derivative
8544602000,50.0,Aluminum-Derivative
8544606000,50.0,Aluminum-Derivative
8716390040,50.0,Aluminum-Derivative
94017900,50.0,Aluminum-Derivative
73012010,50.0,Steel-Derivative
73012050,50.0,Steel-Derivative
73023000,50.0,Steel-Derivative
73072110,50.0,Steel-Derivative
73072150,50.0,Steel-Derivative
73072210,50.0,Steel-Derivative
73072250,50.0,Steel-Derivative
73072300,50.0,Steel-Derivative
73072900,50.0,Steel-Derivative
73079110,50.0,Steel-Derivative
73079130,50.0,Steel-Derivative
73079150,50.0,Steel-Derivative
73079230,50.0,Steel-Derivative
73079290,50.0,Steel-Derivative
73079330,50.0,Steel-Derivative
73079360,50.0,Steel-Derivative
73079390,50.0,Steel-Derivative
73079910,50.0,Steel-Derivative
73079930,50.0,Steel-Derivative
73079950,50.0,Steel-Derivative
73081000,50.0,Steel-Derivative
73082000,50.0,Steel-Derivative
73083010,50.0,Steel-Derivative
73083050,50.0,Steel-Derivative
73084000,50.0,Steel-Derivative
73089030,50.0,Steel-Derivative
73089060,50.0,Steel-Derivative
73089070,50.0,Steel-Derivative
73089095,50.0,Steel-Derivative
73090000,50.0,Steel-Derivative
73101000,50.0,Steel-Derivative
73102100,50.0,Steel-Derivative
73102900,50.0,Steel-Derivative
73110000,50.0,Steel-Derivative
73121005,50.0,Steel-Derivative
73121010,50.0,Steel-Derivative
73121020,50.0,Steel-Derivative
73121030,50.0,Steel-Derivative
73121050,50.0,Steel-Derivative
73121060,50.0,Steel-Derivative
73121070,50.0,Steel-Derivative
73121080,50.0,Steel-Derivative
73121090,50.0,Steel-Derivative
73129000,50.0,Steel-Derivative
73130000,50.0,Steel-Derivative
73141210,50.0,Steel-Derivative
73141220,50.0,Steel-Derivative
73141230,50.0,Steel-Derivative
73141260,50.0,Steel-Derivative
73141290,50.0,Steel-Derivative
73141410,50.0,Steel-Derivative
73141420,50.0,Steel-Derivative
73141430,50.0,Steel-Derivative
73141460,50.0,Steel-Derivative
73141490,50.0,Steel-Derivative
73141901,50.0,Steel-Derivative
73142000,50.0,Steel-Derivative
73143110,50.0,Steel-Derivative
73143150,50.0,Steel-Derivative
73143900,50.0,Steel-Derivative
73144100,50.0,Steel-Derivative
73144200,50.0,Steel-Derivative
73144930,50.0,Steel-Derivative
73144960,50.0,Steel-Derivative
73145000,50.0,Steel-Derivative
73151100,50.0,Steel-Derivative
73151200,50.0,Steel-Derivative
73151900,50.0,Steel-Derivative
73152010,50.0,Steel-Derivative
73152050,50.0,Steel-Derivative
73158100,50.0,Steel-Derivative
73158210,50.0,Steel-Derivative
73158230,50.0,Steel-Derivative
73158250,50.0,Steel-Derivative
73158270,50.0,Steel-Derivative
73158910,50.0,Steel-Derivative
73158930,50.0,Steel-Derivative
73158950,50.0,Steel-Derivative
73159000,50.0,Steel-Derivative
73160000,50.0,Steel-Derivative
73170010,50.0,Steel-Derivative
73170020,50.0,Steel-Derivative
73170055,50.0,Steel-Derivative
73170065,50.0,Steel-Derivative
73170075,50.0,Steel-Derivative
73181100,50.0,Steel-Derivative
73181200,50.0,Steel-Derivative
73181300,50.0,Steel-Derivative
73181410,50.0,Steel-Derivative
73181450,50.0,Steel-Derivative
73181520,50.0,Steel-Derivative
73181540,50.0,Steel-Derivative
73181550,50.0,Steel-Derivative
73181560,50.0,Steel-Derivative
73181580,50.0,Steel-Derivative
73181600,50.0,Steel-Derivative
73181900,50.0,Steel-Derivative
73182100,50.0,Steel-Derivative
73182200,50.0,Steel-Derivative
73182300,50.0,Steel-Derivative
73182400,50.0,Steel-Derivative
73182900,50.0,Steel-Derivative
73194020,50.0,Steel-Derivative
73194030,50.0,Steel-Derivative
73194050,50.0,Steel-Derivative
73199010,50.0,Steel-Derivative
73199090,50.0,Steel-Derivative
73201030,50.0,Steel-Derivative
73201060,50.0,Steel-Derivative
73201090,50.0,Steel-Derivative
73202010,50.0,Steel-Derivative
73202050,50.0,Steel-Derivative
73209010,50.0,Steel-Derivative
73209050,50.0,Steel-Derivative
73211110,50.0,Steel-Derivative
73211130,50.0,Steel-Derivative
73211160,50.0,Steel-Derivative
73211200,50.0,Steel-Derivative
73211900,50.0,Steel-Derivative
73218110,50.0,Steel-Derivative
73218150,50.0,Steel-Derivative
73218210,50.0,Steel-Derivative
73218250,50.0,Steel-Derivative
73218900,50.0,Steel-Derivative
73219010,50.0,Steel-Derivative
73219020,50.0,Steel-Derivative
73219040,50.0,Steel-Derivative
73219050,50.0,Steel-Derivative
73219060,50.0,Steel-Derivative
73221900,50.0,Steel-Derivative
73229000,50.0,Steel-Derivative
73231000,50.0,Steel-Derivative
73239300,50.0,Steel-Derivative
73239400,50.0,Steel-Derivative
73239910,50.0,Steel-Derivative
73239930,50.0,Steel-Derivative
73239950,50.0,Steel-Derivative
73239970,50.0,Steel-Derivative
73239990,50.0,Steel-Derivative
73241000,50.0,Steel-Derivative
